"Refs","Value","Footprint","Qty","DNP"
"C1","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","10n","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","LED-O1","LED_SMD:LED_0805_2012Metric","1",""
"D2","LED-O2","LED_SMD:LED_0805_2012Metric","1",""
"D3","LED-O3","LED_SMD:LED_0805_2012Metric","1",""
"D4","LED-O4","LED_SMD:LED_0805_2012Metric","1",""
"JEXT","EXT-POT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"JOUT","OUT","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"JP1","POT-SEL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"JPWR","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","1",""
"RV1","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"U1","ATtiny85","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
